"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","XBF","SBF","SB%","KF","3BF","2BF","GDPF","Steal","Jump","BA vs L","OBP vs L","SLG vs L","HRF vs L","BA vs R","OBP vs R","SLG vs R","HRF vs R","PB","C Throw", 
"C","Gibson, Josh R  ","$22,077,000","63384",".290",".389",".568","125.8","14.0","7.18","18.7","230.5",".659","5.88","108.2","27.7","38.4","Av","Fr",".296",".398",".579","14.0",".286",".383",".562","14.0","3","Vg",  
"C","Piazza, Mike R  ","$15,379,000","82263",".308",".367",".522","106.6","18.9","11.4","20.2","1344.7",".581","9.17","172.5","25.8","28.5","Fr","Pr",".319",".385",".549","18.1",".302",".356",".507","19.5","3","Fr",  
"2B, C","Biggio, Craig R  ","$13,692,000","55019",".287",".376",".416","98.8","52.4","9.27","15.9","26.5",".693","9.59","123.4","21.7","91.0","Vg","Vg",".297",".384",".430","53.6",".280",".370",".408","51.8","4","Pr",  
"1B, C, RF","Chance, Frank R  ","$12,896,000","26485",".280",".371",".405","94.5","59.1","9.12","15.9","17.8",".710","7.75","95.7","22.9","54.5","Vg","Ex",".292",".386",".428","58.7",".274",".364",".394","59.3","4","Fr",  
"C, 1B","Tenace, Gene R  ","$12,411,000","36345",".243",".380",".439","105.8","21.9","5.82","19.5","277.2",".581","5.40","163.9","28.3","61.0","Fr","Fr",".259",".392",".469","21.2",".234",".373",".421","22.3","5","Av",  
"C, LF, RF","Bench, Johnny R  ","$11,723,000","37993",".250",".324",".449","85.8","20.8","10.0","20.1","259.5",".674","6.57","192.0","25.7","41.9","Av","Fr",".259",".340",".473","19.8",".244",".314",".434","21.6","2","Ex",  
"C","Dickey, Bill L  ","$11,516,000","35334",".286",".347",".444","90.2","31.1","12.2","18.6","612.3",".552","10.2","140.0","24.2","43.4","Av","Pr",".276",".328",".413","36.8",".293",".357",".462","28.8","3","Vg",  
"C, 1B, 3B","Torre, Joe R  ","$11,462,000","38304",".285",".349",".434","86.8","34.0","11.9","19.2","722.2",".608","8.96","131.5","25.5","31.2","Fr","Pr",".282",".346",".415","39.4",".287",".350",".445","31.5","4","Av",  
"C","Berra, Yogi L  ","$11,300,000","43904",".278",".329",".451","88.0","25.9","14.2","20.2","961.0",".556","13.4","157.0","25.8","57.3","Fr","Pr",".265",".315",".414","30.4",".285",".337",".471","23.8","2","Vg",  
"C","Cochrane, Mickey L  ","$11,140,000","45204",".269",".360",".404","89.0","42.2","8.16","18.1","365.9",".534","9.82","144.9","24.6","48.3","Fr","Fr",".256",".342",".373","49.2",".276",".369",".419","39.2","4","Ex",  
"C","Carter, Gary R  ","$11,055,000","32754",".255",".328",".431","84.0","24.5","10.6","20.9","380.6",".567","9.41","188.4","27.0","44.5","Fr","Fr",".279",".363",".488","20.5",".244",".310",".402","27.6","2","Vg",  
"C","Rodriguez, Ivan R  ","$9,876,000","36255",".291",".329",".437","81.5","37.7","19.0","17.0","177.8",".635","10.4","132.4","21.2","34.5","Av","Fr",".306",".350",".471","32.3",".282",".317",".421","40.8","3","Ex",  
"C","Posada, Jorge S  ","$9,834,000","51461",".266",".359",".419","89.2","33.7","8.02","17.3","1169.8",".689","6.18","198.2","22.3","33.3","Fr","Pr",".276",".371",".440","33.2",".260",".352",".406","34.0","5","Av",  
"C, 1B","Mauer, Joe L  ","$9,502,000","27197",".299",".366",".405","88.3","71.0","10.2","17.5","264.1",".641","12.5","165.6","22.4","39.6","Av","Pr",".278",".341",".364","102.3",".309",".379",".425","61.7","2","Vg",  
"C, 1B","Martinez, Victor S  ","$9,485,000","31672",".290",".349",".419","84.2","46.3","12.0","17.3","1522.3",".561","17.6","202.4","21.2","31.9","Pr","Pr",".291",".351",".414","50.6",".292",".348",".423","44.1","2","Fr",  
"1B, C","Napoli, Mike R  ","$9,420,000","23814",".244",".341",".440","89.0","20.8","8.06","23.0","258.3",".540","4.78","145.5","32.6","40.4","Av","Fr",".258",".357",".470","19.5",".236",".333",".425","21.2","3","Av",  
"C","Hartnett, Gabby R  ","$9,149,000","25827",".254",".331",".435","84.4","26.0","9.88","17.2","1827.6",".615","6.14","155.5","22.3","38.6","Fr","Pr",".263",".343",".470","21.2",".249",".324",".417","29.5","4","Ex",  
