"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"RF, SP, LF","Ruth, Babe L  ","$35,774,000","65386",".319",".456",".701","174.1","9.96","4.98","Av","82701","1.10","1.20","2","","","","","","Av/92","","Av/92","Av","Fr","Normal",".431",".472",  
"CF","Mantle, Mickey S  ","$28,802,000","83307",".309",".426",".586","146.2","14.3","5.86","Ex","101442","1.02","1.01","-1","","","","","","","Vg/75","","Vg","Fr","Normal",".431",".423",  
"LF","Bonds, Barry L  ","$26,133,000","52150",".298",".431",".611","153.2","12.3","5.34","Vg","65323",".983","1.08","2","","","","","","Av/96","","","Vg","Av","Normal",".405",".448",  
"CF, RF","Cobb, Ty L  ","$24,445,000","56445",".358",".424",".530","128.9","47.1","9.91","Ex","63867",".912",".980","1","","","","","","","Vg/99","Vg/99","Vg","Ex","Normal",".405",".435",  
"LF","Williams, Ted L  ","$23,969,000","47250",".317",".453",".580","152.5","15.4","5.03","Av","59766",".911","1.11","4","","","","","","Av/98","","","Av","Pr","Normal",".406",".482",  
"1B","Gehrig, Lou L  ","$23,797,000","70721",".320",".429",".607","145.6","15.2","6.23","Av","85491",".961","1.09","3","","Av/93","","","","","","","&nbsp;","Fr","Iron",".397",".450",  
"CF","Charleston, Oscar L  ","$22,995,000","70496",".304",".377",".517","112.6","22.7","9.48","Ex","79857",".850",".920","1","","","","","","","Ex/77","","Vg","Av","Normal",".360",".387",  
"SS, 1B, 3B, RF","Wagner, Honus R  ","$22,872,000","78795",".324",".389",".503","113.6","48.0","10.7","Ex","88521",".912",".883","-1","","Fr/101","","Vg/87","Ex/89","","","Vg/44","Vg","Ex","Normal",".400",".384",  
"2B","Collins, Eddie L  ","$22,772,000","52970",".322",".401",".453","113.2","53.9","8.80","Ex","61212",".819",".874","1","","","Ex/69","","","","","","&nbsp;","Ex","Iron",".389",".408",  
"2B","Hornsby, Rogers R  ","$22,698,000","45931",".334",".418",".575","135.0","21.0","7.93","Vg","53456","1.03",".972","-1","","","Av/95","","","","","","&nbsp;","Fr","Normal",".440",".406",  
"CF","Speaker, Tris L  ","$22,350,000","45821",".312",".390",".473","108.0","51.3","9.31","Ex","52571",".799",".904","1","","","","","","","Ex/73","","Ex","Vg","Iron",".368",".404",  
"1B, LF","Pujols, Albert R  ","$22,256,000","40969",".315",".393",".558","122.3","17.5","8.83","Vg","47099",".999",".928","-1","","Ex/89","","","","Fr/93","","","Fr","Fr","Normal",".413",".383",  
"RF, 1B, LF, CF","Musial, Stan L  ","$22,109,000","58157",".315",".396",".530","121.0","27.9","8.52","Vg","66935",".881",".953","1","","Av/75","","","","Vg/81","Av/81","Vg/81","Av","Fr","Iron",".376",".407",  
"C","Gibson, Josh R  ","$22,077,000","63384",".290",".389",".568","125.8","14.0","7.18","Av","74681",".977",".945","0","Vg/97","","","","","","","","&nbsp;","Fr","Normal",".398",".383",  
"RF, CF","Aaron, Hank R  ","$21,872,000","53565",".308",".371",".544","114.1","18.6","10.8","Ex","59847","1.04",".853","-3","","","","","","","Av/76","Vg/76","Vg","Av","Iron",".422",".344",  
"CF","Mays, Willie R  ","$21,838,000","49440",".299",".376",".538","116.9","18.6","9.00","Ex","56401",".974",".884","-2","","","","","","","Ex/77","","Vg","Av","Iron",".406",".361",  
"1B","Foxx, Jimmie R  ","$21,419,000","58521",".294",".397",".578","130.4","13.8","6.83","Av","69535","1.01",".957","-2","","Vg/82","","","","","","","&nbsp;","Fr","Normal",".412",".389",  
"CF","DiMaggio, Joe R  ","$21,087,000","63663",".305",".366",".540","112.4","19.5","11.8","Vg","70904",".939",".895","-2","","","","","","","Ex/87","","Ex","Pr","Normal",".384",".357",  
"LF, CF","Henderson, Rickey R  ","$20,956,000","64112",".279",".390",".432","112.3","36.6","6.59","Ex","76512",".883",".793","-1","","","","","","Ex/107","Vg/107","","Av","Ex","Normal",".409",".381",  
"3B","Mathews, Eddie L  ","$20,224,000","108198",".273",".376",".510","115.6","17.0","7.03","Av","127895",".800",".946","3","","","","Vg/92","","","","","&nbsp;","Fr","Normal",".345",".397",  
"CF","Griffey, Ken Jr L  ","$19,723,000","78459",".283",".350",".514","104.7","17.5","10.9","Vg","87837",".818",".895","1","","","","","","","Vg/76","","Vg","Av","Normal",".332",".362",  
"3B, 1B","Schmidt, Mike R  ","$19,697,000","67514",".262",".369",".520","113.0","14.9","7.00","Av","80050",".975",".841","-2","","Vg/101","","Ex/90","","","","","&nbsp;","Fr","Normal",".401",".350",  
"RF, CF","Kaline, Al R  ","$18,945,000","75730",".301",".364",".460","97.1","35.4","11.1","Ex","84520",".869",".801","-2","","","","","","","Vg/64","Ex/64","Ex","Fr","Normal",".381",".356",  
"CF","Snider, Duke L  ","$18,921,000","55907",".286",".359",".495","102.0","21.8","9.84","Vg","63301",".752",".919","5","","","","","","","Vg/64","","Vg","Fr","Normal",".320",".383",  
"3B, 1B","Brett, George L  ","$18,740,000","48732",".302",".364",".482","102.7","31.8","11.1","Ex","54355",".756",".906","3","","Av/103","","Vg/103","","","","","&nbsp;","Fr","Prone",".332",".385",  
"LF, CF, RF","Jackson, Joe L  ","$18,194,000","58314",".320",".379",".495","108.0","44.4","12.0","Ex","65022",".814",".913","1","","","","","","Av/88","Av/88","Av/88","Vg","Vg","Normal",".355",".394",  
"SS, 3B","Rodriguez, Alex R  ","$18,133,000","81480",".280",".372",".514","112.4","16.4","8.35","Vg","94677",".889",".884","0","","","","Av/94","Av/77","","","","&nbsp;","Av","Normal",".374",".371",  
"1B","Votto, Joey L  ","$17,898,000","41275",".300",".412",".476","118.3","28.7","6.31","Fr","49722",".794",".944","2","","Vg/96","","","","","","","&nbsp;","Fr","Normal",".377",".432",  
"RF, 1B, LF","Robinson, Frank R  ","$17,848,000","128475",".291",".380",".522","114.7","19.7","8.73","Vg","149292",".900",".904","0","","Av/98","","","","Av/69","","Av/69","Av","Av","Normal",".379",".381",  
"3B, LF","Jones, Chipper S  ","$17,566,000","121850",".290",".383",".485","109.2","23.0","7.52","Vg","142254",".836",".889","1","","","","Av/90","","Fr/149","","","Fr","Fr","Normal",".373",".389",  
"LF, 1B","Delahanty, Ed R  ","$17,545,000","60468",".322",".387",".503","111.3","42.1","10.3","Vg","67969",".925",".873","-1","","Av/110","","","","Vg/65","","","Vg","Vg","Normal",".403",".380",  
"2B","Lajoie, Nap R  ","$17,475,000","76203",".329",".376",".493","105.8","46.4","15.0","Vg","83402",".928",".841","-1","","","Vg/68","","","","","","&nbsp;","Vg","Prone",".396",".367",  
"1B","Bagwell, Jeff R  ","$17,474,000","58257",".292",".399",".512","119.5","19.8","6.87","Vg","69753","1.00",".862","-2","","Av/91","","","","","","","&nbsp;","Av","Normal",".433",".380",  
"SS","Lloyd, Pop L  ","$17,440,000","66077",".281",".372",".425","99.2","45.0","8.10","Ex","76758",".759",".823","1","","","","","Ex/89","","","","&nbsp;","Vg","Normal",".360",".380",  
"RF, 3B, CF","Ott, Mel L  ","$17,436,000","82869",".290",".399",".521","124.0","18.5","6.52","Av","99384",".864",".958","1","","","","Fr/103","","","Fr/68","Av/68","Vg","Fr","Normal",".380",".411",  
"1B","McGwire, Mark R  ","$17,430,000","159109",".248",".375",".555","122.5","11.2","6.01","Pr","194274",".962",".912","-1","","Av/89","","","","","","","&nbsp;","Pr","Prone",".389",".367",  
"1B","Helton, Todd L  ","$17,065,000","52853",".295",".387",".462","107.3","32.6","7.66","Av","61780",".764",".898","3","","Ex/56","","","","","","","&nbsp;","Fr","Normal",".357",".403",  
"2B","Morgan, Joe L  ","$17,057,000","46217",".264",".384",".422","109.5","34.8","6.18","Vg","55904",".721",".860","2","","","Vg/69","","","","","","&nbsp;","Ex","Normal",".356",".401",  
"2B, 1B, 3B, LF","Robinson, Jackie R  ","$17,013,000","59366",".284",".372",".410","95.3","57.2","8.93","Ex","68799",".787",".780","0","","Av/115","Ex/67","Ex/75","","Av/72","","","Av","Vg","Normal",".373",".372",  
"1B","Mize, Johnny L  ","$16,992,000","89998",".287",".370",".517","112.9","19.8","8.73","Av","103506",".822",".932","4","","Av/89","","","","","","","&nbsp;","Pr","Normal",".346",".387",  
"DH, 1B","Thomas, Frank E R  ","$16,761,000","58179",".299",".411",".511","123.8","21.0","6.23","Fr","70429","1.06",".852","-3","","Pr/127","","","","","","","&nbsp;","Pr","Normal",".465",".382",  
"1B","Oh, Sadaharu L  ","$16,621,000","76658",".268",".394",".447","110.9","21.6","5.90","Av","93946",".785",".880","1","","Vg/85","","","","","","","&nbsp;","Pr","Iron",".381",".403",  
"1B","Leonard, Buck L  ","$16,539,000","111477",".292",".375",".528","116.6","19.0","8.59","Av","128546",".869",".924","1","","Vg/89","","","","","","","&nbsp;","Pr","Normal",".359",".386",  
"1B","Terry, Bill L  ","$16,356,000","38147",".314",".367",".456","96.4","52.9","13.0","Av","41905",".779",".850","1","","Ex/71","","","","","","","&nbsp;","Fr","Normal",".354",".375",  
"RF, LF","Ramirez, Manny R  ","$16,092,000","97515",".300",".389",".547","119.9","16.6","7.97","Fr","113394","1.01",".894","-2","","","","","","Fr/151","","Fr/151","Av","Pr","Prone",".419",".371",  
"RF, CF","Jackson, Reggie L  ","$15,943,000","79983",".267",".347",".497","101.2","18.5","9.53","Av","90913",".763",".898","2","","","","","","","Fr/176","Vg/176","Vg","Vg","Normal",".318",".366",  
"1B","Brouthers, Dan L  ","$15,866,000","52761",".308",".390",".466","107.8","61.5","9.17","Vg","61037",".831",".874","1","","Av/98","","","","","","","&nbsp;","Av","Iron",".382",".396",  
"1B, LF","Greenberg, Hank R  ","$15,830,000","89435",".274",".364",".534","111.9","17.0","8.05","Av","103880",".950",".869","-2","","Vg/96","","","","Fr/125","","","Fr","Fr","Normal",".386",".352",  
"RF","Clemente, Roberto R  ","$15,804,000","47874",".309",".352",".465","93.3","40.3","15.9","Vg","51805",".868",".796","-2","","","","","","","","Ex/110","Ex","Fr","Normal",".374",".342",  
"RF, CF","Sosa, Sammy R  ","$15,774,000","68579",".275",".346",".526","104.3","15.2","10.2","Vg","77120",".927",".841","-2","","","","","","","Av/133","Vg/133","Vg","Av","Normal",".370",".332",  
"CF","Torriente, Cristobal L  ","$15,767,000","81322",".293",".340",".452","87.9","36.4","15.5","Vg","88353",".763",".809","1","","","","","","","Ex/75","","Av","Fr","Normal",".327",".347",  
